set_num,last_6_months_new_total_lots,last_6_months_new_total_qty,last_6_months_new_min_price,last_6_months_new_avg_price,last_6_months_new_qty_avg_price,last_6_months_new_max_price,last_6_months_used_total_lots,last_6_months_used_total_qty,last_6_months_used_min_price,last_6_months_used_avg_price,last_6_months_used_qty_avg_price,last_6_months_used_max_price,current_new_total_lots,current_new_total_qty,current_new_min_price,current_new_avg_price,current_new_qty_avg_price,current_new_max_price,current_used_total_lots,current_used_total_qty,current_used_min_price,current_used_avg_price,current_used_qty_avg_price,current_used_max_price
224-1,,,,,,,,,,,,,,,,,,,,,,,,
6562-1,3,3,3,US $102.58,US $102.58,US $110.00,5,5,5,US $36.49,US $36.49,US $48.80,5,5,5,US $121.39,US $121.39,US $145.00,15,16,15,US $45.66,US $45.30,US $70.00
6596-1,,,,,,,10,10,10,US $14.07,US $14.07,US $24.50,,,,,,,33,33,33,US $19.16,US $19.16,US $50.00
6614-1,,,,,,,18,18,18,US $12.06,US $12.06,US $21.85,4,8,4,US $89.40,US $86.27,US $100.00,35,38,35,US $13.81,US $13.79,US $31.65
6639-1,1,1,1,US $51.02,US $51.02,US $51.02,10,10,10,US $8.59,US $8.59,US $16.37,5,6,5,US $85.30,US $87.75,US $115.00,29,29,29,US $10.60,US $10.60,US $45.00
6649-1,5,6,5,US $56.27,US $53.49,US $71.56,24,25,24,US $10.04,US $9.96,US $20.00,9,11,9,US $69.78,US $70.73,US $75.85,56,68,56,US $13.17,US $12.80,US $50.00
8210-1,1,1,1,US $53.53,US $53.53,US $53.53,20,20,20,US $6.19,US $6.19,US $18.00,3,3,3,US $56.30,US $56.30,US $62.62,67,69,67,US $7.89,US $7.90,US $50.00
8225-1,1,1,1,US $44.99,US $44.99,US $44.99,8,8,8,US $11.77,US $11.77,US $19.94,4,4,4,US $54.40,US $54.40,US $60.00,26,26,26,US $19.75,US $19.75,US $75.01
8235-1,,,,,,,7,7,7,US $17.23,US $17.23,US $26.54,1,1,1,US $100.00,US $100.00,US $100.00,26,26,26,US $30.66,US $30.66,US $200.00
8280-1,2,2,2,US $103.53,US $103.53,US $108.72,3,3,3,US $47.57,US $47.57,US $77.61,7,7,7,US $182.79,US $182.79,US $249.99,18,18,18,US $50.28,US $50.28,US $178.35
8412-1,1,1,1,US $98.63,US $98.63,US $98.63,4,4,4,US $29.09,US $29.09,US $53.91,5,5,5,US $115.72,US $115.72,US $299.99,15,15,15,US $46.25,US $46.25,US $150.00
8422-1,2,2,2,US $77.57,US $77.57,US $84.74,6,6,6,US $21.37,US $21.37,US $31.15,3,3,3,US $172.91,US $172.91,US $222.22,26,27,26,US $47.42,US $48.45,US $146.48
8440-1,,,,,,,9,9,9,US $47.43,US $47.43,US $68.46,4,7,4,US $242.42,US $224.95,US $275.00,10,10,10,US $64.84,US $64.84,US $130.02
8460-1,1,1,1,US $184.35,US $184.35,US $184.35,8,8,8,US $85.95,US $85.95,US $109.58,1,1,1,US $450.00,US $450.00,US $450.00,28,28,28,US $99.75,US $99.75,US $255.00
8485-1,,,,,,,7,7,7,US $208.70,US $208.70,US $322.67,1,1,1,US $975.97,US $975.97,US $975.97,9,9,9,US $248.43,US $248.43,US $314.47
9170-1,,,,,,,,,,,,,1,3,1,US $79.99,US $79.99,US $79.99,,,,,,
9171-1,,,,,,,,,,,,,2,2,2,US $109.99,US $109.99,US $129.99,,,,,,
9180-1,,,,,,,,,,,,,,,,,,,,,,,,
9605-1,,,,,,,,,,,,,,,,,,,,,,,,
9609-1,,,,,,,,,,,,,1,1,1,US $767.40,US $767.40,US $767.40,,,,,,
9616-1,,,,,,,,,,,,,4,5,4,US $28.49,US $27.46,US $31.65,3,4,3,US $27.50,US $28.12,US $30.00
9652-1,,,,,,,,,,,,,,,,,,,,,,,,
9653-1,,,,,,,,,,,,,1,1,1,US $65.06,US $65.06,US $65.06,,,,,,
9660-1,,,,,,,,,,,,,,,,,,,2,2,2,US $69.94,US $69.94,US $92.17
9701-1,,,,,,,1,1,1,US $165.09,US $165.09,US $165.09,,,,,,,,,,,,
9751-1,1,1,1,US $156.98,US $156.98,US $156.98,2,2,2,US $151.34,US $151.34,US $156.11,,,,,,,1,1,1,US $164.49,US $164.49,US $164.49
9891-1,2,2,2,US $19.87,US $19.87,US $31.75,,,,,,,13,32,13,US $11.15,US $8.87,US $19.99,1,7,1,US $12.66,US $12.66,US $12.66
9938-1,1,2,1,US $4.31,US $4.31,US $4.31,,,,,,,6,19,6,US $16.34,US $24.63,US $29.99,,,,,,
1-11,1,2,1,US $85.63,US $85.63,US $85.63,,,,,,,1,1,1,US $145.36,US $145.36,US $145.36,3,4,3,US $51.26,US $50.26,US $72.89
322-1,,,,,,,,,,,,,5,5,5,US $54.89,US $54.89,US $68.37,2,2,2,US $20.53,US $20.53,US $25.67
333-1,1,1,1,US $25.36,US $25.36,US $25.36,1,1,1,US $5.42,US $5.42,US $5.42,1,1,1,US $40.33,US $40.33,US $40.33,2,2,2,US $9.40,US $9.40,US $15.00
355-2,,,,,,,2,2,2,US $10.03,US $10.03,US $10.85,2,2,2,US $193.84,US $193.84,US $216.88,,,,,,
366-1,2,2,2,US $52.41,US $52.41,US $54.69,1,1,1,US $13.11,US $13.11,US $13.11,2,2,2,US $59.20,US $59.20,US $59.64,2,2,2,US $24.40,US $24.40,US $27.11
544-1,,,,,,,1,1,1,US $7.85,US $7.85,US $7.85,2,2,2,US $160.78,US $160.78,US $161.58,16,17,16,US $14.65,US $14.55,US $25.00
555-2,,,,,,,5,5,5,US $28.05,US $28.05,US $49.14,6,6,6,US $250.19,US $250.19,US $319.90,12,12,12,US $25.70,US $25.70,US $60.00
566-1,,,,,,,,,,,,,3,4,3,US $239.98,US $242.49,US $290.72,4,4,4,US $27.23,US $27.23,US $32.53
577-1,,,,,,,,,,,,,4,4,4,US $226.05,US $226.05,US $399.99,8,8,8,US $96.27,US $96.27,US $154.00
890-1,,,,,,,11,12,11,US $6.07,US $5.75,US $15.92,3,5,3,US $76.99,US $70.19,US $107.36,35,40,35,US $10.87,US $10.50,US $51.35
1060-1,1,1,1,US $122.50,US $122.50,US $122.50,,,,,,,1,6,1,US $175.00,US $175.00,US $175.00,3,3,3,US $108.98,US $108.98,US $153.99
1064-1,,,,,,,,,,,,,,,,,,,,,,,,
1132-1,,,,,,,,,,,,,12,30,12,US $3.70,US $3.63,US $7.27,,,,,,
1134-1,,,,,,,,,,,,,,,,,,,,,,,,
1139-1,,,,,,,,,,,,,,,,,,,2,2,2,US $35.82,US $35.82,US $40.00
1140-1,3,5,3,US $20.17,US $19.96,US $21.25,,,,,,,3,15,3,US $21.63,US $23.41,US $25.55,,,,,,
1141-1,,,,,,,,,,,,,1,1,1,US $72.68,US $72.68,US $72.68,,,,,,
1142-1,4,6,4,US $16.74,US $16.83,US $21.69,,,,,,,1,1,1,US $16.16,US $16.16,US $16.16,,,,,,
1143-1,1,1,1,US $45.03,US $45.03,US $45.03,,,,,,,9,12,9,US $48.79,US $48.90,US $61.70,1,1,1,US $40.90,US $40.90,US $40.90
1144-1,1,1,1,US $20.13,US $20.13,US $20.13,,,,,,,3,9,3,US $25.55,US $24.82,US $30.00,,,,,,
1145-1,,,,,,,,,,,,,2,3,2,US $8.82,US $9.50,US $10.84,,,,,,
1146-1,1,2,1,US $21.40,US $21.40,US $21.40,,,,,,,9,11,9,US $17.77,US $18.20,US $23.26,,,,,,
1147-1,1,1,1,US $7.15,US $7.15,US $7.15,,,,,,,6,18,6,US $7.36,US $7.01,US $10.45,3,6,3,US $4.83,US $4.48,US $6.13
1215-1,,,,,,,,,,,,,5,5,5,US $7.19,US $7.19,US $10.00,,,,,,
1581-1,,,,,,,,,,,,,,,,,,,3,3,3,US $223.06,US $223.06,US $324.24
2330-1,,,,,,,,,,,,,,,,,,,1,1,1,US $5.42,US $5.42,US $5.42
2340-1,,,,,,,,,,,,,,,,,,,1,1,1,US $16.27,US $16.27,US $16.27
2350-1,,,,,,,,,,,,,,,,,,,1,1,1,US $16.27,US $16.27,US $16.27
2360-1,,,,,,,,,,,,,2,2,2,US $108.44,US $108.44,US $108.44,2,5,2,US $37.36,US $37.00,US $37.95
2370-1,,,,,,,,,,,,,,,,,,,1,1,1,US $39.04,US $39.04,US $39.04
